Date,CM,RY,MFC,BB,AC,WFG,PUMA,BNS,CSU,CNR
2017-04-12,-0.012706445,-0.008087116,-0.013901181,0.143100844,-0.011393971,-0.007864304,0,-0.009204851,-0.005999217,-0.012755898
2017-04-13,-0.010817656,-0.014998363,-0.007464415,-0.028243212,0.003051108,-0.026037177,0,-0.010342246,-0.005050592,-0.001233434
2017-04-17,0.006309596,0.013539785,0.014873346,0.013793322,0.013615944,-0.006226333,0,0.015019979,0.001601543,0.013989332
2017-04-18,-0.006309596,-0.005121234,-0.006097803,0,0.003000752,0.009668758,0,-0.006894059,-0.001585872,-0.001826722
2017-04-19,-0.003303966,-0.00262337,-0.000873694,0.030356462,-0.012815856,-0.00724263,0,-0.003399755,0.002251361,0.002840304
2017-04-20,0.006596875,0.006284195,0.016048867,0.018107491,-0.000759013,0.009988085,0,0.005876447,0.005653956,0.016476134
2017-04-21,-0.004899132,-0.003800511,-0.004312095,0.001629992,-0.010687125,-0.005670665,0,0.000390806,0.004713268,0.005861489
2017-04-24,0.009509111,0.015948126,0.029801913,0.022545238,0.019004753,-0.02920058,0,0.014729041,0.001550553,0.012404092
2017-04-25,0.002826495,0.009943377,0.007938422,-0.006389798,0.015689526,0.084020093,-0.15415068,0.005627269,-0.002742625,-0.030395531
2017-04-26,-0.021845677,-0.016208238,0.002078401,0.001601281,-0.010432285,-0.026112685,-0.182321557,-0.012835522,-0.015004174,-0.006577121
2017-04-27,-0.011058961,-0.019140701,-0.010436224,0.01350835,-0.025798092,0.010825202,0,-0.027503139,-0.02382623,-0.000406233
2017-04-28,0.004910094,-0.002030887,0.004605034,0.006294277,-0.001538462,0.015939792,0.182321557,0.00754021,0.01836332,0.002130114
2017-05-01,-0.006187014,-0.002035034,0.006661343,0.000784006,-0.006952519,-0.007198918,0,-0.001846766,0.039631418,0.013489527
2017-05-02,-0.00411547,-0.006668331,-0.000830152,-0.002353865,-0.01169604,-0.002466034,0,0.000264136,0.024753923,0.013210841
2017-05-03,0.000183247,0.001509752,0.002074204,-0.002359419,-0.011834458,-0.020958839,0,-0.002511262,-0.008673067,-0.004449926
2017-05-04,-0.016350365,-0.000538951,0.012765403,0.001573564,0.014966802,0.002015077,0,-0.005440016,0.039054536,0.002573388
2017-05-05,0.012034746,0.010617063,0.004490578,0.018692133,0.08609879,0.016141529,0,0.020543178,0.004100098,0.007093253
2017-05-08,0.002573191,0.004683019,0.004470726,-0.005415874,0.010702921,-0.014465433,0,0,0.001681539,0.0005886
2017-05-09,-0.005429872,-0.013253863,-0.006917847,0.007728014,0.032812717,0.013143879,0,-0.01061428,-0.009269764,-0.000392561
2017-05-10,0.003408781,0.004187742,-0.004091551,0.001538462,0.022411804,-0.023581663,0,0.007742334,0.009052619,0.001275099
2017-05-11,-0.013332313,-0.006233961,-0.019458177,-0.013152994,0.100243288,-0.033032513,0.15415068,-0.009324422,-0.008774688,-0.007082265
2017-05-12,-0.001585982,-0.002915443,-0.004861002,-0.001558847,-0.019632534,-0.008078746,0,-0.006486029,-0.010076836,0.003547319
2017-05-15,0.006791803,0.01225165,0.008018502,0.025415307,0.000619449,0.020766919,0.133531393,0.00569442,0.007486333,0.013094943
2017-05-16,-0.006885057,-0.006321903,-0.002946755,0.051141192,0.048347843,0.036293823,-0.133531393,-0.001056936,0.000703109,-0.007601318
2017-05-17,-0.009474111,-0.017129836,-0.043513216,-0.005797118,-0.054559106,-0.033706485,0,-0.019623319,-0.045414787,-0.029787833
2017-05-18,-0.000943007,0.01055114,0.017027307,0,0.026438737,0.012667134,0.133531393,0.00323064,0.034771431,0.00723038
2017-05-19,0.006207142,0.006471054,0.018868234,0.019432062,0.026939672,0.020372713,-0.133531393,0.014142877,0.010086823,0.012924081
2017-05-23,0.002715101,0.00546766,0.000849672,0.084692225,0,-0.012916237,0,0.009099892,0.000146462,0.008066666
2017-05-24,-0.006095992,-0.005682673,-0.000849672,-0.024528906,0.02450531,0.001855391,0,-0.006982187,0.007108858,0.004204338
2017-05-25,-0.010021896,0.007925414,0.006352076,0.014657158,0.00057626,0.003364746,0,0.000264068,0.008242977,0.018560506
2017-05-26,0.001234223,0.001918529,0.000422236,-0.011307071,0.017133428,0.005694188,0,0.003298663,-0.006223221,-0.006823531
2017-05-29,0.00784644,0.005839205,-0.002112159,-0.006711435,0.016287975,0.00615992,0,0.002762639,0.006540185,-0.003090448
2017-05-30,-0.008700397,-0.009893309,-0.007214058,-0.038439873,-0.002789458,-0.007831453,0.133531393,0.006286462,-0.001847679,0.010966842
2017-05-31,0.003224082,-0.001819384,-0.006408953,-0.000700035,-0.005602312,-0.016358969,-0.133531393,-0.004973396,0.009304619,0.002007145
2017-06-01,-9.48751E-05,0.004594883,0.020785686,0.076805411,-0.001686759,0.016191859,0.133531393,0.006277828,0.015214413,0.014126929
2017-06-02,0.000189418,-0.000426386,-0.010126899,-0.013055016,0.006730199,0.00217255,0,-0.000260816,0.003771284,-0.003395179
2017-06-05,-0.001326139,-0.002028512,-0.002973038,-0.011232361,-0.006730199,-0.00217255,-0.133531393,0.000782134,0.00968638,0.003865641
2017-06-06,-0.003799262,-0.008155337,-0.015431202,-0.00332779,-0.010181083,0.0028401,0,-0.00221751,-0.022137467,-0.002732629
2017-06-07,-0.002095405,0.003119823,0.001726567,-0.006688988,0.010181083,-0.006359978,0,0.000913869,-0.004118371,-0.000350737
2017-06-08,0.005230882,0.00930116,0.018372492,0.01267106,0.011192003,0.014005041,0,0.015664593,0.007610831,0.015794333
2017-06-09,0.018887175,0.013844167,0.019703374,-0.016032408,-0.004461804,-0.0024866,0,0.009206096,-0.012951274,-0.006174878
2017-06-12,-0.005975261,-0.01076281,0.000829715,-0.051116099,-0.020328086,-0.003491371,0,-0.00946314,-0.015991608,-0.006780612
2017-06-13,-0.005916894,-0.003933208,0.003312501,0.016866176,-0.002856386,-0.000833135,0,-0.001929192,0.008946092,-0.0048308
2017-06-14,-0.006520716,-0.005660823,-0.008302116,-0.026837769,-0.023734833,-0.012074658,0,-0.005421405,0.000802492,-0.008198929
2017-06-15,0.005012373,0.002888002,0.003329043,0,0.00234061,-0.003888354,0,0.004133116,0.010252703,0.01180073
2017-06-16,0.004987775,-0.000854628,0.000830858,-0.005023333,0.004664731,-0.007480342,0,0.004373375,-0.017705822,0.017536702
2017-06-19,0.001969316,0.00798511,0.014833174,0.021353124,0.004063808,0.025275405,0,0.008307247,0.0236765,-0.001860938
2017-06-20,-0.005731523,-0.005742946,-0.007389056,0.00140746,-0.00115942,-0.014412954,0,0.00355737,-0.011472666,-0.012652996
